distortion,baseline,nn,regionfill,diffusion
blur,0.7244869804382325,0.7453537366390228,0.7453533310890198,0.7453541469573974
gaussian_noise,0.7976012439727783,0.8619585247039795,0.8619579510688782,0.8619583802223205
brightness_shift,0.9230547790527344,0.932759352684021,0.932760561466217,0.9327614631652832
jpeg_compression,0.8170196690559387,0.8261775846481323,0.8261726660728455,0.8261692199707031
