method,mIoU_avg,PA_avg,BoundaryF1_avg
baseline,0.3844523907315659,0.815540668129921,0.45527851925268353
nn,0.4416597748905476,0.8415622996687888,0.4889761374497255
regionfill,0.4416586726010394,0.8415611274242402,0.4890133742568156
diffusion,0.4416579815933454,0.8415608025789261,0.4890062879241666
