distortion,baseline,nn,regionfill,diffusion
blur,0.30869004234376124,0.3244979033294908,0.3245445038340268,0.3245171263844348
gaussian_noise,0.4074343107670088,0.49342229241364555,0.49343801259693254,0.4934396916904733
brightness_shift,0.6649968762998283,0.6866289667661973,0.6866793365534122,0.6866629096998376
jpeg_compression,0.4399928476001358,0.4513553872895684,0.45139164404289084,0.45140542392192073
