method,changed_pct,good_change_pct,bad_change_pct,edit_precision,net_gain_pct,error_reduction_pct
diffusion,5.859813176862235,3.588700599397493,1.2288949871803556,0.7505227730275634,2.359805612217138,12.746581033365647
nn,5.862367112087775,3.58966387714017,1.2297670033789672,0.7503820603937185,2.3598968737612025,12.746513025093984
regionfill,5.860516550055465,3.589010125242763,1.2290709172291803,0.7504919832372275,2.3599392080135826,12.747120632230107
